City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,lubu,61.5996,-149.1111,0.9700000000000273,85,100,5.14,US,1675053481
163,chunian,29.9961,121.2428,12.990000000000009,28,0,1.54,CN,1675053482
164,iralaya,30.9632,73.9807,14.560000000000002,89,98,4.49,PK,1675053483
165,tuy hoa,15.0028,-83.2259,24.960000000000036,78,19,6.34,HN,1675053483
166,saint-pierre,46.652,126.9607,-14.370000000000005,83,94,1.79,CN,1675053484
167,kuryk,48.3833,7.4719,0.4000000000000341,74,73,3.86,FR,1675053485
168,nanortalik,43.1767,51.6797,-0.6699999999999591,49,14,4.7,KZ,1675053359
169,mahebourg,60.14,-45.2429,-4.289999999999964,84,100,3.19,GL,1675053487
170,vao,-20.4111,57.7061,27.970000000000027,78,20,0.0,MU,1675053487
171,bethel,58.9396,25.9708,1.3900000000000432,97,100,7.53,EE,1675053488
172,bonthe,60.7922,-161.7558,3.1899999999999977,81,100,5.66,US,1675053489
173,mareeba,7.5273,-12.502,24.29000000000002,92,72,2.1,SL,1675053490
174,dikson,-17.1295,143.9242,32.55000000000001,48,97,1.92,AU,1675053490
175,gazojak,73.5084,80.5124,-33.95999999999998,97,65,1.73,RU,1675053491
176,boke,41.1888,61.4061,0.7400000000000091,57,95,2.6,TM,1675053492
177,katsuura,51.731,8.5619,4.6299999999999955,91,100,8.23,DE,1675053492
178,constitucion,35.1522,140.3207,10.82000000000005,43,5,9.02,JP,1675053493
179,sitka,-35.3318,-72.4119,14.680000000000007,92,69,4.43,CL,1675053494
180,nara,57.0525,-135.3376,1.900000000000034,80,75,1.54,US,1675053495
181,tura,34.6845,135.8048,8.870000000000005,36,54,6.25,JP,1675053495
182,sibolga,47.39,0.6889,2.890000000000043,86,100,2.57,FR,1675053496
183,piterka,1.737,98.7846,30.150000000000034,63,86,1.71,ID,1675053497
184,kahului,50.6786,47.4437,-6.089999999999975,84,99,3.87,RU,1675053498
185,foz,20.8894,-156.4727,23.220000000000027,79,40,4.63,US,1675053498
186,playas,43.5689,-7.255,3.4600000000000364,88,75,1.6,ES,1675053499
187,chokurdakh,13.1626,-87.966,25.160000000000025,65,23,1.02,SV,1675053500
188,pangnirtung,70.6194,147.9024,-30.409999999999968,97,100,3.6,RU,1675053501
189,walvis bay,66.148,-65.7173,-31.24999999999997,79,100,0.14,CA,1675053502
190,karpathos,-22.9543,14.5075,16.720000000000027,83,0,3.75,NA,1675053502
191,saint-philippe,35.6137,27.1193,2.980000000000018,69,66,8.37,GR,1675053503
192,manggar,45.3584,-73.479,-8.810000000000002,86,40,1.03,CA,1675053504
193,springbok,-2.8673,108.2759,29.53000000000003,66,98,5.1,ID,1675053505
194,severo-kurilsk,-29.666,17.8825,14.890000000000043,63,0,1.17,ZA,1675053505
195,axim,50.6683,156.1154,-4.189999999999998,83,100,17.76,RU,1675053506
196,guerrero negro,4.8654,-2.2422,25.689999999999998,85,61,1.76,GH,1675053507
197,navirai,27.971,-114.0364,13.480000000000018,73,0,3.06,MX,1675053507
198,jiayuguan,-23.0622,-54.2018,20.27000000000004,96,100,1.62,BR,1675053508
199,faanui,39.7722,98.2885,-1.1499999999999773,29,8,1.05,CN,1675053509
200,victoria point,-16.4824,-151.7338,26.840000000000032,75,9,5.23,PF,1675053510
201,santo tomas,-37.5093,142.2223,25.970000000000027,27,100,4.37,AU,1675053510
